block,n_options,pick_rate,loading,loading_resid
0,16.0,0.44989754098360657,0.43140892249070467,-0.07472460059605895
1,14.0,0.2940726860298831,0.5115361190954058,-0.001878588804758663
2,10.0,0.4561675717610551,0.5916085594841257,0.10855550102725631
3,10.0,0.4530653950953678,0.5379084001255752,0.05456116998849847
4,10.0,0.3698473282442748,0.5468198964743857,0.055581304500968653
5,10.0,0.3683534743202417,0.5163805614076707,0.025000310990465624
6,19.0,0.30439042796630794,0.5802685786650436,0.04909403214550723
7,10.0,0.2871250914411119,0.47254634995559736,-0.026536585526702905
8,19.0,0.3547824884155197,0.5187382408970981,-0.007657752145643126
9,10.0,0.5483159582999199,0.3497945887517118,-0.12452026791402115
10,22.0,0.36955017884861985,0.5301049995124274,-0.006133556879429736
11,24.0,0.35869185029730677,0.6009561443688628,0.05619262200075881
12,12.0,0.3827069876688197,0.4762204792064721,-0.021293961066829847
13,18.0,0.314647981314648,0.54358462568928,0.01713042625758665
14,10.0,0.45677530017152657,0.4722071019475479,-0.010788327139081066
15,22.0,0.11630591630591632,0.3931543721715535,-0.16709870635859797
16,22.0,0.4946357009876621,0.5070004211052311,-0.01737658703108902
17,17.0,0.3276776741685947,0.6154541589008132,0.09398318163598507
18,21.0,0.3228229490736848,0.6284177324714685,0.09149579823359122
19,18.0,0.3573885449259925,0.6032598896932588,0.08085867136661518
20,16.0,0.37441135734072023,0.5325195660057804,0.01922787629353684
21,20.0,0.3626571668063705,0.4424533178411068,-0.08694358795305662
22,21.0,0.3540044362640993,0.5510082011243432,0.017043129588589
23,11.0,0.26192512212622493,0.410783278762197,-0.0944369558661109
24,19.0,0.1927810462712673,0.5617619736381207,0.020003787668490425
25,10.0,0.45891521197007484,0.6036414662845142,0.12084895969944265
26,22.0,0.47941054379410547,0.4953315531708816,-0.030489218669352725
27,10.0,0.5475276952175088,0.32268961971870647,-0.1516999859701763
28,19.0,0.3832709610637789,0.47212410242960745,-0.05157039976698896
29,18.0,0.36850975662553737,0.614933839165474,0.09358721762172229
30,21.0,0.3538236856080722,0.5391430782799028,0.005160866610006587
31,19.0,0.36167917659220633,0.49056622335364714,-0.035175773941127086
