tag,n,sim,rating,rarity,simr,seed
real,1462,0.13975191732588194,-0.19504311972523147,0.2300381662264279,0.0034552967940147073,
perm,1462,0.14487583663893536,-0.019652887316249788,0.010321318176506743,0.007922202430304753,0.0
perm,1462,0.144201423471065,-0.010497310784948949,0.006202243474833509,0.007419168375164853,1.0
perm,1462,0.14397681673035928,-0.009127254704219222,0.010749357503502789,0.007469909074100469,2.0
perm,1462,0.14484996428767366,-0.013934469637980418,-0.0009537685169201953,0.007642299305513765,3.0
perm,1462,0.14456586272846156,-0.014683613671538842,-0.01818796377456256,0.007758318512859789,4.0
plant0.0,1462,0.13975191732588194,-0.19504311972523147,0.2300381662264279,0.0034552967940147073,
plant0.34,1462,0.1463700569324085,-0.09567843571632528,0.21526797661834204,0.009583279514072613,
plant0.67,1462,0.15542697195136282,0.01591977726068096,0.14430244186439514,0.017391353927385302,
plant1.0,1462,0.1563600449134351,0.05591890611319846,0.13334237396340168,0.01789217977242126,
rating_corrected,1461,0.13756824329999556,0.2541374569363859,0.22939619254399776,0.0021237910643786564,
