cat_q,rarity,drift_all,drift_cap14
How old were you when you first experienced sexual i,1.675978048444958,0.18713553867300747,-0.012756834765294432
How old were you when you first experienced interest,0.830750582172063,0.10715063278517985,-0.022650868159309282
How old were you when you first experienced sexual i,0.5778254770588214,0.22851362201601916,-0.01728567804478999
How old were you when you first experienced interest,0.6495399308802479,0.11746423326058684,-0.009452286248525973
How old were you when you first experienced interest,0.28727363279306156,0.18531477000599875,-0.009407243655874331
How old were you when you first experienced sexual i,0.8357966005963963,0.21533168078755627,-0.008372311047566581
How old were you when you first experienced interest,1.7359996118756815,0.21783881026268276,-0.03733349858333372
How old were you when you first experienced sexual i,0.917129631029603,0.20273691418688272,-0.0033843604419875155
How old were you when you first experienced interest,0.5720941454600976,0.19885628097654232,-0.012686734902272997
How old were you when you first experienced interest,1.8663984969789025,0.14684196420142687,-0.01423736754634806
How old were you when you first experienced sexual i,1.0417549371503354,0.23801726117009364,0.0017414079693142774
How old were you when you first experienced sexual i,0.5730089539858743,0.23038992721829438,-0.029376827697526448
How old were you when you first experienced sexual i,1.4227504030808782,0.18863278296688674,-0.009020819746245466
How old were you when you first experienced sexual i,1.614806097883142,0.19516258290335997,-0.0010807693547259106
How old were you when you first experienced sexual i,0.8700009034616624,0.17152013404791647,-0.0014535286948867874
How old were you when you first experienced interest,1.6170784572443202,0.2538590186838154,0.007965790908108913
How old were you when you first experienced interest,1.6842854690148141,0.2583343488686159,-0.02238488101111774
How old were you when you first experienced interest,0.6196106896642877,0.21598844084266072,0.008308794652670228
How old were you when you first experienced interest,2.190602675225875,0.2002251638344571,-0.015219635994196084
How old were you when you first experienced interest,2.208055125177101,0.19306153984012717,-0.022338182546017476
How old were you when you first experienced interest,1.3200962490207948,0.18439523947235084,-0.017059140555943174
How old were you when you first experienced interest,2.9529899155078705,0.22684907331097867,0.00044296145801873645
How old were you when you first experienced interest,1.5102240953047295,0.25156800987418076,-0.025589624419986506
How old were you when you first experienced sexual i,1.6650077635889111,0.28194897470467134,0.00509893447107307
How old were you when you first experienced interest,3.4104642075268545,0.2781405945366298,
How old were you when you first experienced interest,2.4649181175039097,0.11420445113641838,0.003237767293833079
How old were you when you first experienced sexual i,1.108074446108779,0.23413338762165256,-0.02683745628062699
How old were you when you first experienced interest,3.198318410422186,0.24626744621154145,0.014568569723915105
How old were you when you first experienced interest,3.649852270619679,0.21680979775371922,
How old were you when you first experienced interest,0.43525356969366025,0.10797757884548942,0.003569017990491458
